IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,GOES Estimated Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0224,,,GOES,2024-05-08 01:33:00,,2024-05-08 01:41:00,,2024-05-08 01:48:00,,2024-05-08 01:33:00,,2024-05-08 01:41:00,,2024-05-08 01:48:00,,2024-05-08 01:24:40,,2024-05-08 01:32:40,,2024-05-08 01:39:40,,X1.0,,58.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0225,,,GOES,2024-05-08 04:37:00,,2024-05-08 05:09:00,,2024-05-08 05:32:00,,2024-05-08 04:37:00,,2024-05-08 05:09:00,,2024-05-08 05:32:00,,2024-05-08 04:28:40,,2024-05-08 05:00:40,,2024-05-08 05:23:40,,X1.0,,17.0,-18.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0226,,,GOES,2024-05-08 17:32:00,,2024-05-08 17:53:00,,2024-05-08 18:00:00,,2024-05-08 17:32:00,,2024-05-08 17:53:00,,2024-05-08 18:00:00,,2024-05-08 17:23:40,,2024-05-08 17:44:40,,2024-05-08 17:51:40,,M7.9,,18.0,-18.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0227,,,GOES,2024-05-08 21:08:00,,2024-05-08 21:40:00,,2024-05-08 23:10:00,,2024-05-08 21:08:00,,2024-05-08 21:40:00,,2024-05-08 23:10:00,,2024-05-08 20:59:40,,2024-05-08 21:31:40,,2024-05-08 23:01:40,,X1.0,,17.0,-20.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0228,,,GOES,2024-05-08 21:08:00,,2024-05-08 21:40:00,,2024-05-09 03:07:00,,2024-05-08 21:08:00,,2024-05-08 21:40:00,,2024-05-09 03:07:00,,2024-05-08 20:59:40,,2024-05-08 21:31:40,,2024-05-09 02:58:40,,X1.0,,17.0,-20.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0229,,,GOES,2024-05-08 22:05:00,,2024-05-08 22:27:00,,2024-05-08 23:12:00,,2024-05-08 22:05:00,,2024-05-08 22:27:00,,2024-05-08 23:12:00,,2024-05-08 21:56:40,,2024-05-08 22:18:40,,2024-05-08 23:03:40,,M9.8,,21.0,-23.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0230,CME0173,,GOES,2024-05-09 08:45:00,,2024-05-09 09:13:00,,2024-05-09 09:36:00,,2024-05-09 08:45:00,,2024-05-09 09:13:00,,2024-05-09 09:36:00,,2024-05-09 08:36:40,,2024-05-09 09:04:40,,2024-05-09 09:27:40,,X2.2,,26.0,-20.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240509.png
FLARE0231,CME0174,,GOES,2024-05-09 17:23:00,,2024-05-09 17:44:00,,2024-05-09 18:00:00,,2024-05-09 17:23:00,,2024-05-09 17:44:00,,2024-05-09 18:00:00,,2024-05-09 17:14:40,,2024-05-09 17:35:40,,2024-05-09 17:51:40,,X1.1,,28.0,-14.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240509.png
FLARE0232,,,GOES,2024-05-10 06:27:00,,2024-05-10 06:54:00,,2024-05-10 07:06:00,,2024-05-10 06:27:00,,2024-05-10 06:54:00,,2024-05-10 07:06:00,,2024-05-10 06:18:40,,2024-05-10 06:45:40,,2024-05-10 06:57:40,,X3.9,,34.0,-17.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240510.png
FLARE0233,,,GOES,2024-05-10 13:58:00,,2024-05-10 14:11:00,,2024-05-10 14:23:00,,2024-05-10 13:58:00,,2024-05-10 14:11:00,,2024-05-10 14:23:00,,2024-05-10 13:49:40,,2024-05-10 14:02:40,,2024-05-10 14:14:40,,M5.9,,39.0,-14.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240510.png
FLARE0234,CME0175,,GOES,2024-05-11 01:10:00,,2024-05-11 01:23:00,,2024-05-11 01:39:00,,2024-05-11 01:10:00,,2024-05-11 01:23:00,,2024-05-11 01:39:00,,2024-05-11 01:01:40,,2024-05-11 01:14:40,,2024-05-11 01:30:40,,X5.8,,45.0,-15.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240511.png
FLARE0235,,,GOES,2024-05-11 11:15:00,,2024-05-11 11:44:00,,2024-05-11 12:05:00,,2024-05-11 11:15:00,,2024-05-11 11:44:00,,2024-05-11 12:05:00,,2024-05-11 11:06:40,,2024-05-11 11:35:40,,2024-05-11 11:56:40,,X1.5,,44.0,-22.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240511.png
FLARE0236,,,GOES,2024-05-11 14:46:00,,2024-05-11 15:25:00,,2024-05-11 15:52:00,,2024-05-11 14:46:00,,2024-05-11 15:25:00,,2024-05-11 15:52:00,,2024-05-11 14:37:40,,2024-05-11 15:16:40,,2024-05-11 15:43:40,,M8.8,,49.0,-15.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240511.png
FLARE0237,,,STIX,,2024-05-12 01:12:58,,2024-05-12 01:30:54,,2024-05-12 02:37:02,,2024-05-12 01:15:22,,2024-05-12 01:33:18,,2024-05-12 02:39:26,,2024-05-12 01:07:02,,2024-05-12 01:24:58,,2024-05-12 02:31:06,,M5,,,-137.498551553793,-11.7817020686186,,0.711119309173972,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240512.png
FLARE0238,,,GOES/STIX,2024-05-12 16:11:00,2024-05-12 16:16:10,2024-05-12 16:26:00,2024-05-12 16:21:02,2024-05-12 16:38:00,2024-05-12 16:30:54,2024-05-12 16:11:00,2024-05-12 16:18:31,2024-05-12 16:26:00,2024-05-12 16:23:23,2024-05-12 16:38:00,2024-05-12 16:33:15,2024-05-12 16:02:40,2024-05-12 16:10:11,2024-05-12 16:17:40,2024-05-12 16:15:03,2024-05-12 16:29:40,2024-05-12 16:24:55,X1.0,M8,72.0,-18.0,81.2820628092156,-19.6476356549734,1.0,0.717118032046935,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240512.png
FLARE0239,CME0176,,GOES/STIX,2024-05-13 08:48:00,2024-05-13 08:50:36,2024-05-13 09:44:00,2024-05-13 08:52:52,2024-05-13 10:57:00,2024-05-13 08:56:12,2024-05-13 08:48:00,2024-05-13 08:52:54,2024-05-13 09:44:00,2024-05-13 08:55:10,2024-05-13 10:57:00,2024-05-13 08:58:30,2024-05-13 08:39:40,2024-05-13 08:44:34,2024-05-13 09:35:40,2024-05-13 08:46:50,2024-05-13 10:48:40,2024-05-13 08:50:10,M6.6,C8,81.0,-20.0,81.25998550184983,-18.104573124432992,1.0,0.7237048596944576,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240513.png
FLARE0240,CME0176,,STIX,,2024-05-13 09:14:36,,2024-05-13 09:41:44,,2024-05-13 10:18:52,,2024-05-13 09:16:54,,2024-05-13 09:44:02,,2024-05-13 10:21:10,,2024-05-13 09:08:34,,2024-05-13 09:35:42,,2024-05-13 10:12:50,,M6,,,81.9434469347633,-22.6240038094,,0.724026744341838,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240513.png
FLARE0241,,,GOES/STIX,2024-05-14 02:03:00,2024-05-14 02:01:28,2024-05-14 02:09:00,2024-05-14 02:05:24,2024-05-14 02:19:00,2024-05-14 03:03:52,2024-05-14 02:03:00,2024-05-14 02:03:42,2024-05-14 02:09:00,2024-05-14 02:07:38,2024-05-14 02:19:00,2024-05-14 03:06:06,2024-05-14 01:54:40,2024-05-14 01:55:22,2024-05-14 02:00:40,2024-05-14 01:59:18,2024-05-14 02:10:40,2024-05-14 02:57:46,X1.7,X2,89.0,-17.0,81.6289230742509,-19.351393653989,1.0,0.730453463841025,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0242,,,STIX,,2024-05-14 04:04:52,,2024-05-14 04:29:52,,2024-05-14 05:30:48,,2024-05-14 04:07:06,,2024-05-14 04:32:06,,2024-05-14 05:33:02,,2024-05-14 03:58:46,,2024-05-14 04:23:46,,2024-05-14 05:24:42,,M5,,,-103.08242519101,-13.8941048491257,,0.731388887268811,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0243,,,STIX,,2024-05-14 12:23:08,,2024-05-14 12:49:40,,2024-05-14 13:46:20,,2024-05-14 12:25:20,,2024-05-14 12:51:52,,2024-05-14 13:48:32,,2024-05-14 12:17:00,,2024-05-14 12:43:32,,2024-05-14 13:40:12,,X2,,,92.0174969277877,-17.9309365100653,,0.734608442012479,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0244,,,GOES,2024-05-14 12:40:00,,2024-05-14 12:55:00,,2024-05-14 13:05:00,,2024-05-14 12:40:00,,2024-05-14 12:55:00,,2024-05-14 13:05:00,,2024-05-14 12:31:40,,2024-05-14 12:46:40,,2024-05-14 12:56:40,,X1.2,,89.0,-17.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0245,CME0177,,STIX,,2024-05-14 16:43:32,,2024-05-14 16:47:32,,2024-05-14 17:02:16,,2024-05-14 16:45:44,,2024-05-14 16:49:44,,2024-05-14 17:04:28,,2024-05-14 16:37:24,,2024-05-14 16:41:24,,2024-05-14 16:56:08,,X8,,,95.6047787249766,-18.3861248859549,,0.73613165103539,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0246,CME0177,,GOES,2024-05-14 16:46:00,,2024-05-14 16:51:00,,2024-05-14 17:02:00,,2024-05-14 16:46:00,,2024-05-14 16:51:00,,2024-05-14 17:02:00,,2024-05-14 16:37:40,,2024-05-14 16:42:40,,2024-05-14 16:53:40,,X8.7,,89.0,-18.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240514.png
FLARE0247,CME0179,,STIX,,2024-05-15 08:10:19,,2024-05-15 08:16:11,,2024-05-15 09:30:39,,2024-05-15 08:12:28,,2024-05-15 08:18:20,,2024-05-15 09:32:48,,2024-05-15 08:04:08,,2024-05-15 08:10:00,,2024-05-15 09:24:28,,X9,,,103.72897996296,-18.0545454754477,,0.74202263490958,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240515.png
FLARE0248,CME0180,,GOES/STIX,2024-05-15 14:20:00,2024-05-15 14:19:47,2024-05-15 14:38:00,2024-05-15 14:32:27,2024-05-15 14:51:00,2024-05-15 15:08:27,2024-05-15 14:20:00,2024-05-15 14:21:55,2024-05-15 14:38:00,2024-05-15 14:34:35,2024-05-15 14:51:00,2024-05-15 15:10:35,2024-05-15 14:11:40,2024-05-15 14:13:35,2024-05-15 14:29:40,2024-05-15 14:26:15,2024-05-15 14:42:40,2024-05-15 15:02:15,X2.9,X2,-89.0,-12.0,-102.334951402017,-11.2739440516279,1.0,0.744384225662848,13685.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240515.png
FLARE0249,CME0181,,STIX,,2024-05-15 20:22:27,,2024-05-15 20:36:47,,2024-05-15 21:35:47,,2024-05-15 20:24:34,,2024-05-15 20:38:54,,2024-05-15 21:37:54,,2024-05-15 20:16:14,,2024-05-15 20:30:34,,2024-05-15 21:29:34,,X9,,,112.460080898416,-18.1461940474959,,0.746657083885451,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240515.png
FLARE0250,,,STIX,,2024-05-16 06:12:23,,2024-05-16 06:33:31,,2024-05-16 07:16:59,,2024-05-16 06:14:28,,2024-05-16 06:35:36,,2024-05-16 07:19:04,,2024-05-16 06:06:08,,2024-05-16 06:27:16,,2024-05-16 07:10:44,,M5,,,116.014166000307,-19.0060613752009,,0.750350364712722,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240516.png
FLARE0251,CME0183,,STIX,,2024-05-16 13:17:47,,2024-05-16 13:25:27,,2024-05-16 14:15:27,,2024-05-16 13:19:51,,2024-05-16 13:27:31,,2024-05-16 14:17:31,,2024-05-16 13:11:31,,2024-05-16 13:19:11,,2024-05-16 14:09:11,,X5,,,120.565422423717,-18.2589435300335,,0.752878655479952,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240516.png
FLARE0252,CME0183,,STIX,,2024-05-16 13:18:15,,2024-05-16 13:20:31,,2024-05-16 13:21:31,,2024-05-16 13:20:19,,2024-05-16 13:22:35,,2024-05-16 13:23:35,,2024-05-16 13:11:59,,2024-05-16 13:14:15,,2024-05-16 13:15:15,,M9,,,120.755772518072,-18.6301853944355,,0.752848478993561,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240516.png
FLARE0253,CME0183,,STIX,,2024-05-16 13:40:03,,2024-05-16 13:40:23,,2024-05-16 13:43:43,,2024-05-16 13:42:07,,2024-05-16 13:42:27,,2024-05-16 13:45:47,,2024-05-16 13:33:47,,2024-05-16 13:34:07,,2024-05-16 13:37:27,,M9,,,119.872754989513,-18.5530032809781,,0.752969985280458,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240516.png
FLARE0254,,,STIX,,2024-05-17 03:05:39,,2024-05-17 03:38:39,,2024-05-17 04:17:55,,2024-05-17 03:07:40,,2024-05-17 03:40:40,,2024-05-17 04:19:56,,2024-05-17 02:59:20,,2024-05-17 03:32:20,,2024-05-17 04:11:36,,M8,,,129.573522006766,-17.8261770635243,,0.758060232720821,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240517.png
FLARE0255,CME0184,,STIX,,2024-05-17 12:22:04,,2024-05-17 12:27:12,,2024-05-17 13:47:52,,2024-05-17 12:24:03,,2024-05-17 12:29:11,,2024-05-17 13:49:51,,2024-05-17 12:15:43,,2024-05-17 12:20:51,,2024-05-17 13:41:31,,X6,,,136.200899875544,-17.0846936674444,,0.761232944709032,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240517.png
FLARE0256,CME0185,,GOES,2024-05-17 20:33:00,,2024-05-17 21:08:00,,2024-05-17 21:26:00,,2024-05-17 20:33:00,,2024-05-17 21:08:00,,2024-05-17 21:26:00,,2024-05-17 20:24:40,,2024-05-17 20:59:40,,2024-05-17 21:17:40,,M7.2,,-62.0,-12.0,,,1.0,,13685.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240517.png
FLARE0257,CME0186,,STIX,,2024-05-20 05:10:08,,2024-05-20 05:14:40,,2024-05-20 06:52:32,,2024-05-20 05:11:56,,2024-05-20 05:16:28,,2024-05-20 06:54:20,,2024-05-20 05:03:36,,2024-05-20 05:08:08,,2024-05-20 06:46:00,,X12,,,170.721754461172,-19.1610788214031,,0.783702782911618,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240520.png
FLARE0258,,,STIX,,2024-05-22 16:22:52,,2024-05-22 16:24:28,,2024-05-22 16:25:24,,2024-05-22 16:24:31,,2024-05-22 16:26:07,,2024-05-22 16:27:03,,2024-05-22 16:16:11,,2024-05-22 16:17:47,,2024-05-22 16:18:43,,M5,,,-156.835284087509,-18.4853610105113,,0.802905400917832,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240522.png
FLARE0259,,,STIX,,2024-05-24 12:56:16,,2024-05-24 12:57:56,,2024-05-24 13:05:44,,2024-05-24 12:57:48,,2024-05-24 12:59:28,,2024-05-24 13:07:16,,2024-05-24 12:49:28,,2024-05-24 12:51:08,,2024-05-24 12:58:56,,X1,,,-130.310712881492,-18.6271955588222,,0.816551779609388,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240524.png
FLARE0260,CME0187,,GOES/STIX,2024-05-27 06:49:00,2024-05-27 06:52:40,2024-05-27 07:08:00,2024-05-27 06:56:56,2024-05-27 07:25:00,2024-05-27 06:58:00,2024-05-27 06:49:00,2024-05-27 06:54:02,2024-05-27 07:08:00,2024-05-27 06:58:18,2024-05-27 07:25:00,2024-05-27 06:59:22,2024-05-27 06:40:40,2024-05-27 06:45:42,2024-05-27 06:59:40,2024-05-27 06:49:58,2024-05-27 07:16:40,2024-05-27 06:51:02,X2.8,X1,-89.0,-18.0,-101.817083725282,-18.9676593917659,1.0,0.835493473551541,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240527.png
FLARE0261,CME0187,,STIX,,2024-05-27 07:13:56,,2024-05-27 07:14:12,,2024-05-27 07:14:48,,2024-05-27 07:15:18,,2024-05-27 07:15:34,,2024-05-27 07:16:10,,2024-05-27 07:06:58,,2024-05-27 07:07:14,,2024-05-27 07:07:50,,X1,,,-101.784315157353,-18.6724317515718,,0.835572808760775,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240527.png
FLARE0262,,,GOES,2024-05-29 14:11:00,,2024-05-29 14:37:00,,2024-05-29 15:38:00,,2024-05-29 14:11:00,,2024-05-29 14:37:00,,2024-05-29 15:38:00,,2024-05-29 14:02:40,,2024-05-29 14:28:40,,2024-05-29 15:29:40,,X1.4,,-66.0,-21.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240529.png
FLARE0263,,,GOES,2024-05-29 18:32:00,,2024-05-29 18:41:00,,2024-05-29 18:45:00,,2024-05-29 18:32:00,,2024-05-29 18:41:00,,2024-05-29 18:45:00,,2024-05-29 18:23:40,,2024-05-29 18:32:40,,2024-05-29 18:36:40,,M5.7,,-12.0,28.0,,,1.0,,13691.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240529.png
FLARE0264,,,GOES,2024-05-31 21:52:00,,2024-05-31 22:03:00,,2024-05-31 22:09:00,,2024-05-31 21:52:00,,2024-05-31 22:03:00,,2024-05-31 22:09:00,,2024-05-31 21:43:40,,2024-05-31 21:54:40,,2024-05-31 22:00:40,,X1.1,,-32.0,-17.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240531.png
FLARE0265,,,GOES,2024-06-01 08:26:00,,2024-06-01 08:48:00,,2024-06-01 08:58:00,,2024-06-01 08:26:00,,2024-06-01 08:48:00,,2024-06-01 08:58:00,,2024-06-01 08:17:40,,2024-06-01 08:39:40,,2024-06-01 08:49:40,,X1.4,,-28.0,-18.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240601.png
FLARE0266,,,GOES,2024-06-01 18:24:00,,2024-06-01 18:36:00,,2024-06-01 18:49:00,,2024-06-01 18:24:00,,2024-06-01 18:36:00,,2024-06-01 18:49:00,,2024-06-01 18:15:40,,2024-06-01 18:27:40,,2024-06-01 18:40:40,,X1.0,,-24.0,-17.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240601.png
FLARE0267,,,GOES,2024-06-01 19:03:00,,2024-06-01 19:39:00,,2024-06-01 20:28:00,,2024-06-01 19:03:00,,2024-06-01 19:39:00,,2024-06-01 20:28:00,,2024-06-01 18:54:40,,2024-06-01 19:30:40,,2024-06-01 20:19:40,,M7.3,,-18.0,-19.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240601.png
FLARE0268,,,GOES,2024-06-06 14:50:00,,2024-06-06 15:06:00,,2024-06-06 15:22:00,,2024-06-06 14:50:00,,2024-06-06 15:06:00,,2024-06-06 15:22:00,,2024-06-06 14:41:40,,2024-06-06 14:57:40,,2024-06-06 15:13:40,,M6.1,,41.0,-20.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240606.png
FLARE0269,CME0189,,GOES,2024-06-08 01:23:00,,2024-06-08 01:49:00,,2024-06-08 02:19:00,,2024-06-08 01:23:00,,2024-06-08 01:49:00,,2024-06-08 02:19:00,,2024-06-08 01:14:40,,2024-06-08 01:40:40,,2024-06-08 02:10:40,,M9.7,,53.0,-18.0,,,1.0,,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240608.png
FLARE0270,,,STIX,,2024-06-10 04:04:56,,2024-06-10 04:10:40,,2024-06-10 05:14:40,,2024-06-10 04:05:41,,2024-06-10 04:11:25,,2024-06-10 05:15:25,,2024-06-10 03:57:21,,2024-06-10 04:03:05,,2024-06-10 05:07:05,,M7,,,-102.312619644882,-15.8815961498123,,0.908952293462408,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240610.png
FLARE0271,,,GOES/STIX,2024-06-10 10:18:00,2024-06-10 10:18:12,2024-06-10 10:58:00,2024-06-10 11:06:00,2024-06-10 11:03:00,2024-06-10 11:36:04,2024-06-10 10:18:00,2024-06-10 10:18:57,2024-06-10 10:58:00,2024-06-10 11:06:45,2024-06-10 11:03:00,2024-06-10 11:36:49,2024-06-10 10:09:40,2024-06-10 10:10:37,2024-06-10 10:49:40,2024-06-10 10:58:25,2024-06-10 10:54:40,2024-06-10 11:28:29,M5.3,X1,89.0,-17.0,81.1818850792934,-20.0287591170829,1.0,0.910098058708081,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240610.png
FLARE0272,,,GOES/STIX,2024-06-10 10:18:00,2024-06-10 10:18:12,2024-06-10 11:08:00,2024-06-10 11:06:00,2024-06-10 11:18:00,2024-06-10 11:36:04,2024-06-10 10:18:00,2024-06-10 10:18:57,2024-06-10 11:08:00,2024-06-10 11:06:45,2024-06-10 11:18:00,2024-06-10 11:36:49,2024-06-10 10:09:40,2024-06-10 10:10:37,2024-06-10 10:59:40,2024-06-10 10:58:25,2024-06-10 11:09:40,2024-06-10 11:28:29,X1.5,X1,85.0,-19.0,81.1818850792934,-20.0287591170829,1.0,0.910098058708081,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240610.png
FLARE0273,,,STIX,,2024-06-10 10:19:32,,2024-06-10 10:50:08,,2024-06-10 10:58:40,,2024-06-10 10:20:17,,2024-06-10 10:50:53,,2024-06-10 10:59:25,,2024-06-10 10:11:57,,2024-06-10 10:42:33,,2024-06-10 10:51:05,,M5,,,81.1201575445125,-19.3461158456709,,0.910054565118438,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240610.png
FLARE0274,,,GOES/STIX,2024-06-10 18:11:00,2024-06-10 18:15:44,2024-06-10 18:40:00,2024-06-10 18:34:12,2024-06-10 19:18:00,2024-06-10 19:45:16,2024-06-10 18:11:00,2024-06-10 18:16:28,2024-06-10 18:40:00,2024-06-10 18:34:56,2024-06-10 19:18:00,2024-06-10 19:46:00,2024-06-10 18:02:40,2024-06-10 18:08:08,2024-06-10 18:31:40,2024-06-10 18:26:36,2024-06-10 19:09:40,2024-06-10 19:37:40,M9.5,X1,89.0,-16.0,85.4038706334205,-19.3562819689098,1.0,0.911317557566232,13697.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240610.png
FLARE0275,CME0191,,STIX,,2024-06-11 22:25:28,,2024-06-11 22:38:52,,2024-06-11 23:50:28,,2024-06-11 22:26:10,,2024-06-11 22:39:34,,2024-06-11 23:51:10,,2024-06-11 22:17:50,,2024-06-11 22:31:14,,2024-06-11 23:42:50,,X3,,,113.158480733872,-18.66976636923,,0.915744515079315,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240611.png
FLARE0276,,,STIX,,2024-06-13 02:57:48,,2024-06-13 03:05:24,,2024-06-13 04:10:00,,2024-06-13 02:58:28,,2024-06-13 03:06:04,,2024-06-13 04:10:40,,2024-06-13 02:50:08,,2024-06-13 02:57:44,,2024-06-13 04:02:20,,X3,,,128.223089548575,-19.1036704003831,,0.919977352296288,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240613.png
FLARE0277,,,STIX,,2024-06-13 14:49:12,,2024-06-13 14:58:44,,2024-06-13 16:02:00,,2024-06-13 14:49:51,,2024-06-13 14:59:23,,2024-06-13 16:02:39,,2024-06-13 14:41:31,,2024-06-13 14:51:03,,2024-06-13 15:54:19,,M6,,,139.809837004981,-19.6891498401559,,0.921671934086448,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240613.png
FLARE0278,,,STIX,,2024-06-16 15:35:12,,2024-06-16 15:38:12,,2024-06-16 15:42:00,,2024-06-16 15:35:46,,2024-06-16 15:38:46,,2024-06-16 15:42:34,,2024-06-16 15:27:26,,2024-06-16 15:30:26,,2024-06-16 15:34:14,,X1,,,177.019575100292,-18.3126809881505,,0.931076244512983,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240616.png
FLARE0279,,,STIX,,2024-06-17 07:58:00,,2024-06-17 08:02:56,,2024-06-17 08:12:00,,2024-06-17 07:58:34,,2024-06-17 08:03:30,,2024-06-17 08:12:34,,2024-06-17 07:50:14,,2024-06-17 07:55:10,,2024-06-17 08:04:14,,M6,,,-165.204618006399,-22.2497566173979,,0.932975123284622,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240617.png
FLARE0280,,,STIX,,2024-06-17 10:16:52,,2024-06-17 10:20:16,,2024-06-17 10:22:32,,2024-06-17 10:17:25,,2024-06-17 10:20:49,,2024-06-17 10:23:05,,2024-06-17 10:09:05,,2024-06-17 10:12:29,,2024-06-17 10:14:45,,X3,,,-171.971018268472,-17.8743281198079,,0.933233370246876,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240617.png
